산업분류,사업체수,남대표,여대표
전체,3293551,2071898,1221653
농업임업및어업,2336,2175,161
광업,1817,1674,143
제조업,328565,270534,58031
전기가스증기및공기조절공급업,910,880,30
수도하수및폐기물처리원료재생업,5683,5057,626
건설업,97391,85693,11698
도매및소매업,858619,516649,341970
운수및창고업,343986,328725,15261
숙박및음식점업,628624,215104,413520
정보통신업,24306,20896,3410
금융및보험업,38408,34086,4322
부동산업,114083,80713,33370
전문과학및기술서비스업,67721,60525,7196
사업시설관리사업지원및임대서비스업,46231,33725,12506
공공행정국방및사회보장행정,11665,11263,402
교육서비스업,162601,75163,87438
보건업및사회복지서비스업,99899,59612,40287
예술스포츠및여가관련서비스업,101955,60347,41608
협회및단체수리및기타개인서비스업,358751,209077,149674
