산업분류,사업체수,종사자수,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자
전체,4019872,21626904,3773138,15259202,49732,2681785,197002,3685917
농업임업및어업,3880,40642,3121,26389,179,4230,580,10023
광업,2001,15421,1809,10320,55,996,137,4105
제조업,433684,4103986,408089,2610942,10647,693157,14948,799887
전기가스증기및공기조절공급업,1829,61185,985,5623,65,10872,779,44690
수도하수및폐기물처리원료재생업,8533,103413,7255,76341,308,9546,970,17526
건설업,138478,1438640,131942,1162008,3009,206501,3527,70131
도매및소매업,1022739,3173320,950735,2397861,11894,265591,60110,509868
운수및창고업,386919,1115990,375762,800080,2058,137308,9099,178602
숙박및음식점업,747577,2214879,725787,1959198,1568,30774,20222,224907
정보통신업,42887,575886,38309,356322,1402,135121,3176,84443
금융및보험업,43514,726907,11783,77438,3306,171554,28425,477915
부동산업,152083,504790,144383,390158,1253,47687,6447,66945
전문과학및기술서비스업,104252,1010154,89758,508596,5425,265503,9069,236055
사업시설관리사업지원및임대서비스업,68177,1168096,56825,582566,2872,366324,8480,219206
공공행정국방및사회보장행정,12488,706780,12220,693422,43,8111,225,5247
교육서비스업,185275,1596963,174312,1158239,1768,151596,9195,287128
보건업및사회복지서비스업,145909,1782672,135977,1327833,1771,122107,8161,332732
예술스포츠및여가관련서비스업,118797,416781,115785,344243,509,23731,2503,48807
협회및단체수리및기타개인서비스업,400850,870399,388301,771623,1600,31076,10949,67700
