산업분류,종사자합,종사자남,종사자여
전체,16288226,9637605,6650621
농업임업및어업,28687,22256,6431
광업,17215,15203,2012
제조업,3247881,2390951,856930
전기가스증기및공기조절공급업,52775,46728,6047
수도하수및폐기물처리원료재생업,80664,68899,11765
건설업,885116,771897,113219
도매및소매업,2554013,1391023,1162990
운수및창고업,929684,837113,92571
숙박및음식점업,1721990,567882,1154108
정보통신업,427382,302490,124892
금융및보험업,672222,317653,354569
부동산업,403852,279197,124655
전문과학및기술서비스업,691543,484006,207537
사업시설관리사업지원및임대서비스업,716917,397668,319249
공공행정국방및사회보장행정,574074,417026,157048
교육서비스업,1317285,514874,802411
보건업및사회복지서비스업,891093,220170,670923
예술스포츠및여가관련서비스업,312358,174326,138032
협회및단체수리및기타개인서비스업,763475,418243,345232
