산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,15943663,3567381,9858443,1793014,724825
농업임업및어업,32622,50,20902,5783,5887
광업,16918,1985,13810,1056,67
제조업,3259932,352153,2677410,223274,7095
전기가스증기및공기조절공급업,51545,74,50975,481,15
수도하수및폐기물처리원료재생업,79657,1922,71221,6158,356
건설업,853524,66870,495599,274791,16264
도매및소매업,2547330,1059812,1062137,242538,182843
운수및창고업,885737,325517,470033,35692,54495
숙박및음식점업,1718029,911217,414091,358767,33954
정보통신업,416971,9476,374976,27118,5401
금융및보험업,641552,6188,389127,20662,225575
부동산업,393408,96012,258197,24458,14741
전문과학및기술서비스업,627291,50784,542766,29671,4070
사업시설관리사업지원및임대서비스업,692982,33010,503513,126703,29756
공공행정국방및사회보장행정,558755,2,507949,49626,1178
교육서비스업,1299080,145167,886207,193708,73998
보건업및사회복지서비스업,807217,74613,679586,47301,5717
예술스포츠및여가관련서비스업,297061,121208,97354,65485,13014
협회및단체수리및기타개인서비스업,764052,311321,342590,59742,50399
