산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4325195,2667568,1657627,21583421,12255997,9327424,4028048,14690304,73928,3068912,223219,3824205,3906292,14369940,2643012,664177,3587125,5699039,421489,2698584,170410,2255029,95325,2835504,31417,2162513,15144,2387245,2155,815186,1309,898552,821,1831769
농업임업및어업,5948,4940,1008,47481,34797,12684,4842,29678,333,5911,773,11892,0,35299,9980,2202,3573,7074,1241,8239,625,8327,388,11804,85,5735,34,4797,1,0,0,0,1,0
광업,1654,1415,239,13838,12112,1726,1434,8074,84,1695,136,4069,1552,11488,702,96,1084,2218,230,1558,165,2330,149,4373,20,1281,4,632,0,0,2,0,0,0
제조업,453257,352698,100559,3984905,2956335,1028570,421732,2394910,14492,742839,17033,847156,392581,3354402,213247,24675,306409,596293,77438,511705,35443,475726,23710,707275,6180,424742,3360,536685,393,147507,201,135186,123,449786
전기가스증기및공기조절공급업,4449,3398,1051,69138,57187,11951,3432,7919,155,13157,862,48062,2196,65549,1245,148,3541,4330,271,1729,117,1610,210,7239,191,13570,83,14428,23,9138,5,3621,8,13473
수도하수및폐기물처리원료재생업,9627,7957,1670,115110,96004,19106,7919,79595,518,13192,1190,22323,3625,104329,6636,520,4767,10552,1993,13070,1308,17893,1138,35302,316,21179,102,14598,2,0,0,0,1,0
건설업,158401,125380,33021,1431792,1222424,209368,148895,1039476,5095,298764,4411,93552,94249,676950,639490,21103,105323,190847,28709,186916,13650,181267,7025,208121,2104,142645,1187,191004,187,69455,135,91939,81,169598
도매및소매업,1064434,629883,434551,2962630,1642480,1320150,980195,2184443,18036,325393,66203,452794,1006589,1552996,323236,79809,947733,1484928,80003,501106,24336,315372,9273,263052,1924,129990,979,150869,116,43969,51,35174,19,38170
운수및창고업,420889,389516,31373,1091939,941923,150016,407854,738348,2694,154142,10341,199449,393223,593317,46658,58741,400728,429329,7944,51726,5219,70141,3995,122074,1698,119065,1129,177691,116,42171,37,25609,23,54133
숙박및음식점업,829555,343952,485603,2023871,780735,1243136,800184,1778616,3473,36824,25898,208431,1033003,563175,418622,9071,744753,1286079,67598,417365,13688,171780,2922,82066,439,27617,119,19164,21,8037,12,8006,3,3757
정보통신업,49435,39878,9557,620982,425088,195894,43460,364455,2489,165947,3486,90580,17302,565891,27690,10099,31587,58846,8098,52390,4594,61339,3073,91684,1096,76194,782,130512,114,43038,62,41982,29,64997
금융및보험업,43242,35576,7666,680970,298304,382666,13572,69518,3473,197068,26197,414384,6868,466462,14981,192659,16566,33284,10137,69302,9163,120671,5297,162993,1469,95908,447,69213,71,26600,53,35513,39,67486
부동산업,177046,110807,66239,510503,320739,189764,162944,377040,4009,58169,10093,75294,121769,337370,37401,13963,153827,221575,15425,98814,5628,72695,1710,48003,268,17886,142,23738,27,10150,12,7828,7,9814
전문과학및기술서비스업,129778,105937,23841,1159853,768333,391520,110393,551000,7756,335689,11629,273164,78469,999813,73848,7723,90442,171614,22406,142040,9194,121462,4894,144548,1534,105183,936,153132,199,77235,117,81036,56,163603
사업시설관리사업지원및임대서비스업,77568,54445,23123,1108666,606266,502400,65320,545503,3473,353724,8775,209439,45988,853758,167280,41640,57512,97163,8124,52368,4487,61066,3999,120182,1531,105377,1306,218141,299,113200,205,141947,105,199222
공공행정국방및사회보장행정,12385,11212,1173,819440,506897,312543,12076,803785,47,10122,262,5533,0,735278,81869,2293,1658,3182,1472,10648,2823,41733,3893,114281,1119,76832,861,140209,224,87507,209,146904,126,198144
교육서비스업,191529,81405,110124,1579773,554037,1025736,179229,1138907,2348,144007,9952,296859,163119,1167653,172776,76225,147230,250562,19960,125864,8700,117650,7814,241661,6316,448333,1225,156792,123,46818,86,58468,75,133625
보건업및사회복지서비스업,149351,84145,65206,2156232,407218,1749014,137352,1564042,2382,145996,9617,446194,77880,1743232,282257,52863,58727,165202,48617,314794,23252,308768,12097,363422,4275,292210,1949,310381,204,75821,112,77745,118,247889
예술스포츠및여가관련서비스업,123249,70504,52745,380824,199274,181550,118690,300855,984,29496,3575,50473,124553,162946,66188,27137,111312,162799,7551,47600,2368,30927,1260,37242,396,27642,325,50147,23,8835,9,5473,5,10159
협회및단체수리및기타개인서비스업,423398,214520,208878,825474,425844,399630,408525,714140,2087,36777,12786,74557,343326,380032,58906,43210,400353,523162,14272,91350,5650,74272,2478,70182,456,31124,174,25112,12,4400,1,0,2,0
