Industrial	workerCount	maleCount	femaleCount	ageLt40Count	ageGte40Count
건설업	474	454	20	50	424
"공공행정, 국방 및 사회보장 행정"	1485	791	694	372	1113
교육 서비스업	353	69	284	111	242
금융 및 보험업	403	279	124	131	272
기타	2565	1090	1475	769	1796
"농업, 임업 및 어업"	762	432	330	18	744
도매 및 소매업	955	441	514	172	783
보건업 및 사회복지 서비스업	957	243	714	344	613
"사업시설 관리, 사업 지원 및 임대 서비스업"	855	386	469	76	779
숙박 및 음식점업	83	73	10	38	45
"예술, 스포츠 및 여가관련 서비스업"	304	158	146	150	154
운수 및 창고업	384	348	36	94	290
"전기, 가스, 증기 및 공기조절 공급업"	304	272	32	83	221
"전문, 과학 및 기술 서비스업"	375	295	80	94	281
정보통신업	22	20	2	8	14
제조업	2200	1825	375	476	1724
"협회 및 단체, 수리 및 기타 개인 서비스업"	425	157	268	127	298
