"산업분류별","학력별","성별","연령",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"산업분류별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),근로자수 (명)
"전체","전학력","전체","전체",42.9,6.8,21.7,176.7,167.7,9.0,2.2,3757,3318,3118,200,439,5268,11061775
"A.농업, 임업 및 어업(01~03)","전학력","전체","전체",45.4,8.9,22.2,175.0,169.6,5.4,2.3,3426,2912,2825,86,514,6172,28468
"B.광업(05~08)","전학력","전체","전체",51.6,8.3,23.3,199.8,177.9,21.8,8.2,4188,3758,3295,463,430,5160,11449
"C.제조업(10~34)","전학력","전체","전체",42.5,8.0,21.9,186.4,169.9,16.5,4.2,3910,3350,3003,347,560,6720,3140872
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","전학력","전체","전체",41.6,13.5,21.3,179.0,169.6,9.4,1.7,6252,4833,4509,324,1419,17031,63664
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전학력","전체","전체",47.4,7.1,22.9,191.6,177.0,14.6,5.0,3861,3529,3172,357,333,3992,80800
"F.건설업(41~42)","전학력","전체","전체",45.5,5.8,22.1,178.9,172.6,6.3,1.7,3811,3576,3421,154,235,2822,559595
"G.도매 및 소매업(45~47)","전학력","전체","전체",41.2,6.2,21.9,175.6,170.9,4.7,1.1,3729,3368,3272,96,361,4337,1099397
"H.운수 및 창고업(49~52)","전학력","전체","전체",48.5,7.6,21.5,174.9,161.6,13.3,3.2,3410,3018,2719,300,392,4703,553337
"I.숙박 및 음식점업(55~56)","전학력","전체","전체",41.5,3.3,21.4,170.8,162.9,8.0,1.9,2294,2214,2086,129,80,958,348820
"J.정보통신업(58~63)","전학력","전체","전체",38.1,6.9,21.8,178.0,172.4,5.6,0.8,4558,4105,3957,148,453,5436,476187
"K.금융 및 보험업(64~66)","전학력","전체","전체",40.4,12.0,21.7,177.0,172.0,5.0,0.4,6083,4618,4489,129,1466,17589,427729
"L.부동산업(68)","전학력","전체","전체",55.7,4.8,20.4,180.8,178.8,2.0,0.2,2874,2658,2597,61,216,2587,269595
"M.전문, 과학 및 기술 서비스업(70~73)","전학력","전체","전체",40.3,7.5,21.6,176.4,171.5,4.9,0.7,4933,4242,4069,173,692,8300,884835
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전학력","전체","전체",42.3,5.7,21.4,174.0,166.8,7.2,2.1,3086,2838,2684,154,247,2969,893664
"P.교육 서비스업(85)","전학력","전체","전체",43.7,7.6,20.2,155.2,152.6,2.7,0.4,3689,3425,3377,48,264,3172,462946
"Q.보건업 및 사회복지서비스업(86~87)","전학력","전체","전체",43.6,4.3,21.9,164.3,159.2,5.2,1.1,2877,2705,2586,119,172,2059,1406635
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전학력","전체","전체",42.3,6.1,21.3,171.0,163.3,7.7,2.4,3007,2796,2633,162,212,2543,114535
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전학력","전체","전체",44.0,6.1,22.3,176.2,171.6,4.6,1.4,3065,2794,2697,96,271,3256,239246
