Industrial,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
농업임업및어업,2141,2181,2152,2336,2253,2363,2388,2655,3159,3289,3627,3880,4261,4522,5948
광업,1734,1746,1723,1817,1752,1781,1836,1881,2002,2006,2012,2001,1916,1776,1654
제조업,335288,335402,327982,328565,336908,351346,371906,382575,409232,428643,430948,433684,437024,440766,453257
전기가스증기및공기조절공급업,894,880,860,910,951,985,1067,1121,1302,1393,1584,1829,2343,3119,4449
수도하수및폐기물처리원료재생업,5216,5450,5495,5683,5996,6520,7089,7565,8366,8525,8521,8533,8972,9423,9627
건설업,94297,97535,97198,97391,98859,106059,111181,118767,129667,133797,137220,138478,142840,146293,158401
도매및소매업,860547,864543,856901,858619,873632,901399,939357,957058,993971,1015117,1017340,1022739,1027109,1028323,1064434
운수및창고업,340013,338825,340550,343986,347289,354142,364349,371628,379044,379388,385968,386919,400282,409288,420889
숙박및음식점업,624450,627039,624605,628624,636278,654892,673064,685669,702596,710248,729175,747577,766315,785706,829555
정보통신업,23826,24271,23787,24306,26299,29902,33779,35290,40304,42425,42539,42887,43888,45303,49435
금융및보험업,35572,36996,37576,38408,39485,40814,41799,41609,41969,42192,42809,43514,43568,43555,43242
부동산업,106075,110768,112817,114083,114006,117682,119049,119832,127228,131079,143461,152083,160152,168481,177046
전문과학및기술서비스업,62506,64975,66517,67721,70372,76792,84260,87868,96865,102866,103223,104252,112302,118129,129778
사업시설관리사업지원및임대서비스업,45740,46321,45650,46231,48268,52823,56639,59755,65603,66668,67237,68177,70542,73282,77568
공공행정국방및사회보장행정,12266,12044,11755,11665,11869,11903,11939,12027,12057,12364,12454,12488,12521,12570,12385
교육서비스업,150024,156164,160277,162601,166527,170575,172289,173740,175606,175800,180595,185275,189800,193790,191529
보건업및사회복지서비스업,83323,88452,94456,99899,108081,114578,122764,127925,134208,132553,141372,145909,147452,150659,149351
예술스포츠및여가관련서비스업,97527,98059,100134,101955,101745,103675,104597,104222,103977,101055,110230,118797,121639,124621,123249
협회및단체수리및기타개인서비스업,345126,351270,354341,358751,364889,371792,383109,385672,385644,384748,389854,400850,410246,416943,423398
